cell_id	seed_block_id	response	window	start_generation	end_generation	mean	median	sd	cv	q05	q95	lag1_autocorrelation	integrated_autocorrelation_time
p01-s02-c0021	sb0001	D0	1	51	100	100.0	100.0	0.0	0.0	100.0	100.0	0.0	1.0
p01-s02-c0021	sb0001	D0	2	101	150	100.0	100.0	0.0	0.0	100.0	100.0	0.0	1.0
p01-s02-c0021	sb0001	D0	3	151	200	100.0	100.0	0.0	0.0	100.0	100.0	0.0	1.0
p01-s02-c0021	sb0001	D0	4	201	250	100.0	100.0	0.0	0.0	100.0	100.0	0.0	1.0
p01-s02-c0021	sb0001	D1	1	51	100	34.22738605038078	34.22738592540402	0.0009100165293006088	2.6587380291358383e-05	34.22589903729642	34.22874553955439	0.7603657807703053	6.374613789171319
p01-s02-c0021	sb0001	D1	2	101	150	34.22751994365284	34.22750675112347	0.0010496945778677672	3.0668145971307014e-05	34.225952839636484	34.22919582305807	0.8467282799744589	4.756516807427296
p01-s02-c0021	sb0001	D1	3	151	200	34.22777614030476	34.227744847243265	0.0009742365760946421	2.8463332589914724e-05	34.226297725425034	34.22937633853839	0.8268546924228385	9.80806059378832
p01-s02-c0021	sb0001	D1	4	201	250	34.22795885839531	34.228056181658836	0.0006768070327083743	1.977351426383316e-05	34.226824456440816	34.22889196699243	0.714529879717152	7.0789572782789545
p01-s02-c0021	sb0001	D2	1	51	100	22.205618838380992	22.2055773147089	0.0008363240862276823	3.766272366983754e-05	22.204357296219086	22.207003584755203	0.8497494991199022	8.377594514066885
p01-s02-c0021	sb0001	D2	2	101	150	22.20565974306428	22.20571272272892	0.0006711206035043421	3.0222952673764173e-05	22.20450521771163	22.206569577851877	0.8148799183161043	4.371088875373058
p01-s02-c0021	sb0001	D2	3	151	200	22.206336258956267	22.20628250641607	0.0005530287554197718	2.4904097144648256e-05	22.205388637087246	22.207236442665724	0.6714790911781188	3.6842051402436065
p01-s02-c0021	sb0001	D2	4	201	250	22.206086552149277	22.20608550425306	0.0006225940841454868	2.803709166328667e-05	22.205168543857802	22.20706589842059	0.7896826761681494	7.24084998677332
p01-s02-c0021	sb0001	evenness	1	51	100	0.7671868665658377	0.7671868658481354	5.773385691276187e-06	7.525396931153973e-06	0.7671774324469125	0.7671954914141644	0.7603641800439627	6.374628793356785
p01-s02-c0021	sb0001	evenness	2	101	150	0.7671877159922825	0.7671876323959066	6.659489933555716e-06	8.680391766886301e-06	0.7671777737971842	0.7671983479955491	0.8467291149646637	4.756529929936012
p01-s02-c0021	sb0001	evenness	3	151	200	0.7671893413704222	0.7671891429275726	6.180739508146913e-06	8.056341733197601e-06	0.7671799619196644	0.7671994931665314	0.8268541776075002	9.808047506199692
p01-s02-c0021	sb0001	evenness	4	201	250	0.7671905006087479	0.767191118082672	4.2937803366799185e-06	5.596758996980415e-06	0.7671833037160705	0.767196420348613	0.7145286227337976	7.0789277540589675
p01-s02-c0021	sb0001	TV	1	51	100	8.44816599999969e-05	8.62300000000023e-05	8.291328808622501e-06	0.09814353563392109	6.92148499999906e-05	9.5399650000007e-05	0.6915317936873473	3.6030660603915083
p01-s02-c0021	sb0001	TV	2	101	150	8.378220000000472e-05	8.26360000000041e-05	7.582121487087107e-06	0.0904979994209591	7.312425000000102e-05	9.596205000000418e-05	0.717182188828666	4.42233866649779
p01-s02-c0021	sb0001	TV	3	151	200	8.981253999999883e-05	8.966149999998812e-05	6.859559783016059e-06	0.0763764145075526	7.854229999999318e-05	0.00010077090000000482	0.7923839592164943	11.33096750819452
p01-s02-c0021	sb0001	TV	4	201	250	9.187263999999926e-05	9.24509999999974e-05	8.507371146657839e-06	0.09259961558368092	7.697649999999376e-05	0.00010417759999999778	0.656812298431127	7.149089117043084
p01-s02-c0021	sb0002	D0	1	51	100	100.0	100.0	0.0	0.0	100.0	100.0	0.0	1.0
p01-s02-c0021	sb0002	D0	2	101	150	100.0	100.0	0.0	0.0	100.0	100.0	0.0	1.0
p01-s02-c0021	sb0002	D0	3	151	200	100.0	100.0	0.0	0.0	100.0	100.0	0.0	1.0
p01-s02-c0021	sb0002	D0	4	201	250	100.0	100.0	0.0	0.0	100.0	100.0	0.0	1.0
p01-s02-c0021	sb0002	D1	1	51	100	34.2280110523577	34.22780499581974	0.0013706945320763977	4.004598835671993e-05	34.2263696551612	34.2304964043185	0.9182667655682822	11.689427958708
p01-s02-c0021	sb0002	D1	2	101	150	34.22737173324336	34.22734973199171	0.0007027931422509792	2.0533073580066646e-05	34.22615218032378	34.22868191679847	0.697055913423074	3.9687140018458416
p01-s02-c0021	sb0002	D1	3	151	200	34.228708001386956	34.228805160287294	0.0009021027364918997	2.635515008206989e-05	34.22711929424044	34.229879511606235	0.8139373150855498	6.510438530105928
p01-s02-c0021	sb0002	D1	4	201	250	34.228085682770995	34.228070264696754	0.000760226383223073	2.2210601851033097e-05	34.22688477776753	34.22922836579486	0.7232450690541117	5.1674609590433755
p01-s02-c0021	sb0002	D2	1	51	100	22.205937078677724	22.205945010518338	0.001149219298906241	5.1752794526727195e-05	22.204212903407633	22.20784779473209	0.9312831215899612	12.624309120253752
p01-s02-c0021	sb0002	D2	2	101	150	22.205380802382784	22.205328712861025	0.00046154286444871477	2.0785181238557645e-05	22.204664650204073	22.20618432978203	0.6061670143598467	3.829136879824889
p01-s02-c0021	sb0002	D2	3	151	200	22.206744499762195	22.20674856008775	0.0005994259512000726	2.6992968339257996e-05	22.205810203426225	22.207663077911604	0.7672584973132137	5.608054747853204
p01-s02-c0021	sb0002	D2	4	201	250	22.206156932390698	22.206220630413284	0.0005850807006168454	2.6347679267429912e-05	22.20508564603467	22.20690492350373	0.7775019978431634	4.567733411538423
p01-s02-c0021	sb0002	evenness	1	51	100	0.7671908316056941	0.7671895245211677	8.695773716426933e-06	1.133456417646062e-05	0.7671804182754313	0.7672065986195289	0.918264739216472	11.689495611614001
p01-s02-c0021	sb0002	evenness	2	101	150	0.7671867757646127	0.7671866362278299	4.45869647410252e-06	5.811748344669762e-06	0.7671790385118925	0.7671950877913244	0.6970542413382111	3.9687084419289427
